condition,description
injury to the knee,"Medial knee injuries are the most common type of knee injury. The medial ligament complex of the knee consists of:superficial medial collateral ligament (sMCL), also called the medial collateral ligament (MCL) or tibial collateral ligament
deep medial collateral ligament (dMCL), or mid-third medial capsular ligament
posterior oblique ligament (POL), or oblique fibers of the sMCL"
metabolic disorder,"A metabolic disorder is a disorder that negatively alters the body's processing and distribution of macronutrients, such as proteins, fats, and carbohydrates. Metabolic disorders can happen when abnormal chemical reactions in the body alter the normal metabolic process. It can also be defined as inherited single gene anomaly, most of which are autosomal recessive."
vaginitis,"Vaginitis, also known as vulvovaginitis, is inflammation of the vagina and vulva. Symptoms may include itching, burning, pain, discharge, and a bad smell. Certain types of vaginitis may result in complications during pregnancy."
sick sinus syndrome,"Sinus node dysfunction (SND), also known as sick sinus syndrome (SSS), is a group of abnormal heart rhythms (arrhythmias) usually caused by a malfunction of the sinus node, the heart's primary pacemaker. Tachycardia-bradycardia syndrome is a variant of sick sinus syndrome in which the arrhythmia alternates between fast and slow heart rates."
tinnitus of unknown cause,"Ménière's disease (MD) is a disease of the inner ear that is characterized by potentially severe and incapacitating episodes of vertigo, tinnitus, hearing loss, and a feeling of fullness in the ear. Typically, only one ear is affected initially, but over time, both ears may become involved. Episodes generally last from 20 minutes to a few hours. The time between episodes varies. The hearing loss and ringing in the ears can become constant over time."
glaucoma,"Glaucoma is a group of eye diseases that can lead to damage of the optic nerve. The optic nerve transmits visual information from the eye to the brain. Glaucoma may cause vision loss if left untreated. It has been called the ""silent thief of sight"" because the loss of vision usually occurs slowly over a long period of time. A major risk factor for glaucoma is increased pressure within the eye, known as intraocular pressure (IOP). It is associated with old age, a family history of glaucoma, and certain medical conditions or the use of some medications. The word glaucoma comes from the Ancient Greek word γλαυκός, meaning 'gleaming, blue-green, gray'."
eating disorder,"An eating disorder is a mental disorder defined by abnormal eating behaviors that adversely affect a person's physical or mental health. These behaviors may include eating either too much or too little. Types of eating disorders include binge eating disorder, where the patient keeps eating large amounts in a short period of time typically while not being hungry; anorexia nervosa, where the person has an intense fear of gaining weight and restricts food or overexercises to manage this fear; bulimia nervosa, where individuals eat a large quantity (binging) then try to rid themselves of the food (purging); pica, where the patient eats non-food items; rumination syndrome, where the patient regurgitates undigested or minimally digested food; avoidant/restrictive food intake disorder (ARFID), where people have a reduced or selective food intake due to some psychological reasons; and a group of other specified feeding or eating disorders. Anxiety disorders, depression and substance abuse are common among people with eating disorders. These disorders do not include obesity. People often experience comorbidity between an eating disorder and OCD. It is estimated 20–60% of patients with an ED have a history of OCD."
transient ischemic attack,"A transient ischemic attack (TIA), commonly known as a mini-stroke, is a temporary (transient) stroke with noticeable symptoms that end within 24 hours. A TIA causes the same symptoms associated with a stroke, such as weakness or numbness on one side of the body, sudden dimming or loss of vision, difficulty speaking or understanding language or slurred speech."
pyelonephritis,"Pyelonephritis is inflammation of the kidney, typically due to a bacterial infection. Symptoms most often include fever and flank tenderness. Other symptoms may include nausea, burning with urination, and frequent urination. Complications may include pus around the kidney, sepsis, or kidney failure."
rotator cuff injury,Rotator cuff tendinopathy is a process of senescence. The pathophysiology is mucoid degeneration. Most people develop rotator cuff tendinopathy within their lifetime.
chronic pain disorder,"Chronic pain or chronic pain syndrome is a type of pain that is also known by other titles such as gradual burning pain, electrical pain, throbbing pain, and nauseating pain. This type of pain is sometimes confused with acute pain and can last from three months to several years; various diagnostic manuals such as DSM-5 and ICD-11 have proposed several definitions of chronic pain, but the accepted definition is that it is ""pain that lasts longer than the expected period of recovery."""
problem during pregnancy,"Rh disease is a type of hemolytic disease of the fetus and newborn (HDFN). HDFN due to anti-D antibodies is the proper and currently used name for this disease as the Rh blood group system actually has more than 50 antigens and not only the D-antigen. The term ""Rh Disease"" is commonly used to refer to HDFN due to anti-D antibodies, and prior to the discovery of anti-Rho(D) immune globulin, it was the most common type of HDFN. The disease ranges from mild to severe, and occurs in the second or subsequent pregnancies of Rh-D negative women when the biological father is Rh-D positive."
liver cancer,"Liver cancer, also known as hepatic cancer, primary hepatic cancer, or primary hepatic malignancy, is cancer that starts in the liver. Liver cancer can be primary in which the cancer starts in the liver, or it can be liver metastasis, or secondary, in which the cancer spreads from elsewhere in the body to the liver. Liver metastasis is the more common of the two liver cancers. Instances of liver cancer are increasing globally."
atelectasis,"Atelectasis is the partial collapse or closure of a lung resulting in reduced or absence in gas exchange. It is usually unilateral, affecting part or all of one lung. It is a condition where the alveoli are deflated down to little or no volume, as distinct from pulmonary consolidation, in which they are filled with liquid. It is often referred to informally as a collapsed lung, although more accurately it usually involves only a partial collapse, and that ambiguous term is also informally used for a fully collapsed lung caused by a pneumothorax."
injury to the hand,"The hand is a very complex organ with multiple joints, different types of ligament, tendons and nerves. Hand disease injuries are common in society and can result from excessive use, degenerative disorders or trauma."
choledocholithiasis,"Common bile duct stone, also known as choledocholithiasis, is the presence of gallstones in the common bile duct (CBD). This condition can cause jaundice and liver cell damage. Treatments include choledocholithotomy and endoscopic retrograde cholangiopancreatography (ERCP)."
injury to the hip,"Straining of the hamstring, also known as a pulled hamstring, is defined as an excessive stretch or tear of muscle fibers and related tissues. Hamstring injuries are common in athletes participating in many sports. Track and field athletes are particularly at risk, as hamstring injuries have been estimated to make up 29% of all injuries in sprinters.
Hamstring injuries can also come with a hip injury from sprinting. Symptoms for a hip injury are pain, aching and discomfort while running or any physical exercise."
cirrhosis,"Cirrhosis, also known as liver cirrhosis or hepatic cirrhosis, chronic liver failure or chronic hepatic failure and end-stage liver disease, is an acute condition of the liver in which the normal functioning tissue, or parenchyma, is replaced with scar tissue (fibrosis) and regenerative nodules as a result of chronic liver disease. Damage to the liver leads to repair of liver tissue and subsequent formation of scar tissue. Over time, scar tissue and nodules of regenerating hepatocytes can replace the parenchyma, causing increased resistance to blood flow in the liver's capillaries—the hepatic sinusoids—and consequently portal hypertension, as well as impairment in other aspects of liver function. The disease typically develops slowly over months or years."
thoracic aortic aneurysm,A thoracic aortic aneurysm is an aortic aneurysm that presents primarily in the thorax.
subdural hemorrhage,A subdural hematoma (SDH) is a type of bleeding in which a collection of blood—usually but not always associated with a traumatic brain injury—gathers between the inner layer of the dura mater and the arachnoid mater of the meninges surrounding the brain. It usually results from rips in bridging veins that cross the subdural space.
diabetic retinopathy,"Diabetic retinopathy is a medical condition in which damage occurs to the retina due to diabetes. It is a leading cause of blindness in developed countries and one of the lead causes of sight loss in the world, even though there are many new therapies and improved treatments for helping people live with diabetes."
fibromyalgia,"Fibromyalgia (FM) is a functional somatic medical syndrome with symptoms of chronic widespread pain, accompanied by fatigue, sleep disturbance including awakening unrefreshed, and cognitive symptoms. Other symptoms can include headaches, lower abdominal pain or cramps, and depression. People with fibromyalgia can also experience insomnia and general hypersensitivity. The causes of fibromyalgia are unknown, with several pathophysiologies proposed."
ischemia of the bowel,"Intestinal ischemia is a medical condition in which injury to the large or small intestine occurs due to not enough blood supply. It can come on suddenly, known as acute intestinal ischemia, or gradually, known as chronic intestinal ischemia. The acute form of the disease often presents with sudden severe abdominal pain and is associated with a high risk of death. The chronic form typically presents more gradually with abdominal pain after eating, unintentional weight loss, vomiting, and fear of eating."
fetal alcohol syndrome,"Fetal alcohol spectrum disorders (FASDs) are a group of conditions that can occur in a person who is exposed to alcohol during gestation. FASD affects 1 in 20 Americans, but is highly mis- and under-diagnosed."
peritonitis,"Peritonitis is inflammation of the localized or generalized peritoneum, the lining of the inner wall of the abdomen and cover of the abdominal organs. Symptoms may include severe pain, swelling of the abdomen, fever, or weight loss. One part or the entire abdomen may be tender. Complications may include shock and acute respiratory distress syndrome."
injury to the abdomen,"The abdomen is the front part of the torso between the thorax (chest) and pelvis in humans and in other vertebrates. The area occupied by the abdomen is called the abdominal cavity. In arthropods, it is the posterior tagma of the body; it follows the thorax or cephalothorax."
acute pancreatitis,"Acute pancreatitis (AP) is a sudden inflammation of the pancreas. Causes include a gallstone impacted in the common bile duct or the pancreatic duct, heavy alcohol use, systemic disease, trauma, elevated calcium levels, hypertriglyceridemia, certain medications, hereditary causes and, in children, mumps. Acute pancreatitis may be a single event, it may be recurrent, or it may progress to chronic pancreatitis and/or pancreatic failure."
thrombophlebitis,"Thrombophlebitis is a phlebitis related to a thrombus. When it occurs repeatedly in different locations, it is known as thrombophlebitis migrans."
asthma,"Asthma is a common long-term inflammatory disease of the airways of the lungs. Asthma occurs when allergens, pollen, dust, or other particles, are inhaled into the lungs, causing the bronchioles to constrict and produce mucus, which then restricts oxygen flow to the alveoli. It is characterized by variable and recurring symptoms, reversible airflow obstruction, and easily triggered bronchospasms. Symptoms include episodes of wheezing, coughing, chest tightness, and shortness of breath. These may occur a few times a day or a few times per week. Depending on the person, asthma symptoms may become worse at night or with exercise."
foreign body in the vagina,"A foreign body (FB) is any object originating outside the body of an organism. In machinery, it can mean any unwanted intruding object."
restless leg syndrome,"Restless legs syndrome (RLS), also known as Willis–Ekbom disease (WED), is a neurological disorder, usually chronic, that causes an overwhelming urge to move one's legs. There is often an unpleasant feeling in the legs that improves temporarily by moving them. This feeling is often described as aching, tingling, or crawling in nature. Occasionally, arms may also be affected. The feelings generally happen when at rest and therefore can make it hard to sleep. Sleep disruption may leave people with RLS sleepy during the day, with low energy, and irritable or depressed. Additionally, many have limb twitching during sleep, a condition known as periodic limb movement disorder. RLS is not the same as habitual foot-tapping or leg-rocking."
emphysema,"Emphysema is any air-filled enlargement in the body's tissues. Most commonly emphysema refers to the permanent enlargement of air spaces (alveoli) in the lungs, and is also known as pulmonary emphysema."
cysticercosis,"Cysticercosis is a tissue infection caused by the young form of the pork tapeworm. People may have few or no symptoms for years. In some cases, particularly in Asia, solid lumps of between one and two centimeters may develop under the skin. After months or years, these lumps can become painful and swollen and then resolve. A specific form called neurocysticercosis, which affects the brain, can cause neurological symptoms. In developing countries, this is one of the most common causes of seizures."
induced abortion,"Abortion is the termination of a pregnancy by removal or expulsion of an embryo or fetus. An abortion that occurs without intervention is known as a miscarriage or ""spontaneous abortion""; these occur in approximately 30% to 40% of all pregnancies. When deliberate steps are taken to end a pregnancy, it is called an induced abortion, or less frequently ""induced miscarriage"". The unmodified word abortion generally refers to an induced abortion. The most common reasons given for having an abortion are for birth-timing and limiting family size. Other reasons reported include maternal health, an inability to afford a child, domestic violence, lack of support, feeling they are too young, wishing to complete education or advance a career, and not being able or willing to raise a child conceived as a result of rape or incest."
teething syndrome,"Teething is the process by which an infant's first teeth appear by emerging through the gums, typically arriving in pairs. The mandibular central incisors are the first primary teeth to erupt, usually between 6 and 10 months of age and usually causes discomfort and pain to the infant. It can take several years for all 20 teeth to complete the tooth eruption. Though the process of teething is sometimes referred to as ""cutting teeth"", when teeth emerge through the gums they do not cut through the flesh. Instead, hormones are released within the body that cause some cells in the gums to die and separate, allowing the teeth to come through."
infectious gastroenteritis,"Gastroenteritis, also known as infectious diarrhea, is an inflammation of the gastrointestinal tract including the stomach and intestine. Symptoms may include diarrhea, vomiting, and abdominal pain. Fever, lack of energy, and dehydration may also occur. This typically lasts less than two weeks. Although it is not related to influenza, in the U.S it is sometimes called the ""stomach flu""."
acute sinusitis,"Sinusitis, also known as rhinosinusitis, is an inflammation of the mucous membranes that line the sinuses resulting in symptoms that may include production of thick nasal mucus, nasal congestion, facial congestion, facial pain, facial pressure, loss of smell, or fever."
substance-related mental disorder,"Substance-related disorders, also known as substance use disorders, are a type of mental disorder that affects a person's brain and behavior, leading to their inability to control their use of substances like legal or illegal drugs, alcohol, or medications."
postpartum depression,"Postpartum depression (PPD), also called perinatal depression, is a mood disorder which may be experienced by pregnant or postpartum individuals. Symptoms include extreme sadness, low energy, anxiety, crying episodes, irritability, and changes in sleeping or eating patterns. PPD can also negatively affect the newborn child."
coronary atherosclerosis,"Atherosclerosis is a pattern of the disease arteriosclerosis, characterized by development of abnormalities called lesions in walls of arteries. This is a chronic inflammatory disease involving many different cell types and is driven by elevated levels of cholesterol in the blood. These lesions may lead to narrowing of the arterial walls due to buildup of atheromatous plaques. At the onset there are usually no symptoms, but if they develop, symptoms generally begin around middle age. In severe cases, it can result in coronary artery disease, stroke, peripheral artery disease, or kidney disorders, depending on which body part(s) the affected arteries are located in the body."
spondylitis,"Ankylosing spondylitis (AS) is a type of arthritis from the disease spectrum of axial spondyloarthritis. It is characterized by long-term inflammation of the joints of the spine, typically where the spine joins the pelvis. With AS, eye and bowel problems—as well as back pain—may occur. Joint mobility in the affected areas sometimes worsens over time.
Ankylosing spondylitis is believed to involve a combination of genetic and environmental factors. More than 90% of people affected in the UK have a specific human leukocyte antigen known as the HLA-B27 antigen. The underlying mechanism is believed to be autoimmune or autoinflammatory. Diagnosis is based on symptoms with support from medical imaging and blood tests. AS is a type of seronegative spondyloarthropathy, meaning that tests show no presence of rheumatoid factor (RF) antibodies."
pituitary adenoma,"Pituitary adenomas are tumors that occur in the pituitary gland. Most pituitary tumors are benign, approximately 35% are invasive and just 0.1% to 0.2% are carcinomas. Pituitary adenomas represent from 10% to 25% of all intracranial neoplasms, with an estimated prevalence rate in the general population of approximately 17%."
uterine fibroids,"Uterine fibroids, also known as uterine leiomyomas, fibromyoma or fibroids, are benign smooth muscle tumors of the uterus, part of the female reproductive system. Most people with fibroids have no symptoms while others may have painful or heavy periods. If large enough, they may push on the bladder, causing a frequent need to urinate. They may also cause pain during penetrative sex or lower back pain. Someone can have one uterine fibroid or many. It is uncommon but possible that fibroids may make it difficult to become pregnant."
chalazion,"A chalazion or meibomian cyst is not a cyst but a granuloma in the eyelid that results from a blocked meibomian gland. It typically occurs in the middle of the eyelid, red, and not painful. They tend to come on gradually over a few weeks."
ovarian torsion,"Ovarian torsion (OT) or adnexal torsion is an abnormal condition where an ovary twists on its attachment to other structures, such that blood flow is decreased. Symptoms typically include pelvic pain on one side. While classically the pain is sudden in onset, this is not always the case. Other symptoms may include nausea. Complications may include infection, bleeding, or infertility."
retinopathy due to high blood pressure,Hypertensive retinopathy is damage to the retina and retinal circulation due to high blood pressure.
vaginal yeast infection,"Vaginal yeast infection, also known as candidal vulvovaginitis and vaginal thrush, is excessive growth of yeast in the vagina that results in irritation. The most common symptom is vaginal itching, which may be severe. Other symptoms include burning with urination, a thick, white vaginal discharge that typically does not smell bad, pain during sex, and redness around the vagina. Symptoms often worsen just before a period."
mastoiditis,"Mastoiditis is the result of an infection that extends to the air cells of the skull behind the ear. Specifically, it is an inflammation of the mucosal lining of the mastoid antrum and mastoid air cell system inside the mastoid process. The mastoid process is the portion of the temporal bone of the skull that is behind the ear. The mastoid process contains open, air-containing spaces. Mastoiditis is usually caused by untreated acute otitis media and used to be a leading cause of child mortality. With the development of antibiotics, however, mastoiditis has become quite rare in developed countries where surgical treatment is now much less frequent and more conservative, unlike former times."
lung contusion,"A pulmonary contusion, also known as lung contusion, is a bruise of the lung, caused by chest trauma. As a result of damage to capillaries, blood and other fluids accumulate in the lung tissue. The excess fluid interferes with gas exchange, potentially leading to inadequate oxygen levels (hypoxia). Unlike pulmonary laceration, another type of lung injury, pulmonary contusion does not involve a cut or tear of the lung tissue."
hypertrophic obstructive cardiomyopathy (hocm),"Hypertrophic cardiomyopathy is a condition in which muscle tissues of the heart become thickened without an obvious cause. The parts of the heart most commonly affected are the interventricular septum and the ventricles. This results in the heart being less able to pump blood effectively and also may cause electrical conduction problems. Specifically, within the bundle branches that conduct impulses through the interventricular septum and into the Purkinje fibers, as these are responsible for the depolarization of contractile cells of both ventricles."
ingrown toe nail,"Surgical treatments of ingrown toenails include a number of different options. If conservative treatment of a minor ingrown toenail does not succeed or if the ingrown toenail is severe, surgical management by a podiatrist is recommended. The initial surgical approach is typically a partial avulsion of the nail plate known as a wedge resection or a complete removal of the toenail. If the ingrown toenail recurs despite this treatment, destruction of the germinal matrix with phenol is recommended. As an alternative, one may use 10% sodium hydroxide which is less toxic or trichloroacetic acid which may give faster healing time. Antibiotics are not needed if surgery is performed."
pulmonary eosinophilia,"Eosinophilia is a condition in which the eosinophil count in the peripheral blood exceeds 5×108/L (500/μL). Hypereosinophilia is an elevation in an individual's circulating blood eosinophil count above 1.5 × 109/L (i.e. 1,500/μL). The hypereosinophilic syndrome is a sustained elevation in this count above 1.5 × 109/L (i.e. 1,500/μL) that is also associated with evidence of eosinophil-based tissue injury."
corneal disorder,"Corneal ectatic disorders or corneal ectasia are a group of uncommon, noninflammatory, eye disorders characterised by bilateral thinning of the central, paracentral, or peripheral cornea."
foreign body in the gastrointestinal tract,"Rectal foreign bodies are large foreign items found in the rectum that can be assumed to have been inserted through the anus, rather than reaching the rectum via the mouth and gastrointestinal tract. It can be of clinical relevance if the patient cannot remove it the way they intended. Smaller, ingested foreign bodies, such as bones eaten with food, can sometimes be found stuck in the rectum upon X-ray and are rarely of clinical relevance."
endophthalmitis,"Endophthalmitis, or endophthalmia, is inflammation of the interior cavity of the eye, usually caused by an infection. It is a possible complication of all intraocular surgeries, particularly cataract surgery, and can result in loss of vision or loss of the eye itself. Infection can be caused by bacteria or fungi, and is classified as exogenous, or endogenous. Other non-infectious causes include toxins, allergic reactions, and retained intraocular foreign bodies. Intravitreal injections are a rare cause, with an incidence rate usually less than 0.05%."
intestinal malabsorption,Malabsorption is a state arising from abnormality in absorption of food nutrients across the gastrointestinal (GI) tract. Impairment can be of single or multiple nutrients depending on the abnormality. This may lead to malnutrition and a variety of anaemias.
viral warts,"Warts are non-cancerous viral growths usually occurring on the hands and feet but which can also affect other locations, such as the genitals or face. One or many warts may appear. They are distinguished from cancerous tumors as they are caused by a viral infection, such as a human papillomavirus, rather than a cancer growth."
hyperhidrosis,"Hyperhidrosis is a medical condition in which a person exhibits excessive sweating, more than is required for the regulation of body temperature. Although it is primarily a physical burden, hyperhidrosis can deteriorate the quality of life of the people who are affected from a psychological, emotional, and social perspective. In fact, hyperhidrosis almost always leads to psychological as well as physical and social consequences. People suffering from it present difficulties in professional fields, more than 80% experiencing a moderate to severe emotional impact from the disease and half are subject to depression."
stroke,"Stroke is a medical condition in which poor blood flow to a part of the brain causes cell death. There are two main types of stroke: ischemic, due to lack of blood flow, and hemorrhagic, due to bleeding. Both cause parts of the brain to stop functioning properly."
pilonidal cyst,"Pilonidal disease is a type of skin infection which typically occurs as a cyst between the cheeks of the buttocks and often at the upper end. Symptoms may include pain, swelling, and redness. There may also be drainage of fluid, but rarely a fever."
crushing injury,"A crush injury is injury by an object that causes compression of the body. This form of injury is rare in normal civilian practice, but common following a natural disaster. Other causes include industrial accidents, road traffic collisions, building collapse, accidents involving heavy plant, disaster relief or terrorist incidents."
normal pressure hydrocephalus,"Normal pressure hydrocephalus (NPH), also called malresorptive hydrocephalus, is a form of communicating hydrocephalus in which excess cerebrospinal fluid (CSF) builds up in the ventricles, leading to normal or slightly elevated cerebrospinal fluid pressure. The fluid build-up causes the ventricles to enlarge and the pressure inside the head to increase, compressing surrounding brain tissue and leading to neurological complications. Although the cause of idiopathic NPH remains unclear, it has been associated with various co-morbidities including hypertension, diabetes mellitus, Alzheimer's disease, and hyperlipidemia. Causes of secondary NPH include trauma, hemorrhage, or infection. The disease presents in a classic triad of symptoms, which are memory impairment, urinary frequency, and balance problems/gait deviations. The disease was first described by Salomón Hakim and Raymond Adams in 1965."
alopecia,"Hair loss, also known as alopecia or baldness, refers to a loss of hair from part of the head or body. Typically at least the head is involved. The severity of hair loss can vary from a small area to the entire body. Inflammation or scarring is not usually present. Hair loss in some people causes psychological distress."
hashimoto thyroiditis,"Hashimoto's thyroiditis, also known as chronic lymphocytic thyroiditis, Hashimoto's disease and autoimmune thyroiditis, is an autoimmune disease in which the thyroid gland is gradually destroyed."
flat feet,"Flat feet, also called pes planus or fallen arches, is a postural deformity in which the arches of the foot collapse, with the entire sole of the foot coming into complete or near-complete contact with the ground. Sometimes children are born with flat feet (congenital). There is a functional relationship between the structure of the arch of the foot and the biomechanics of the lower leg. The arch provides an elastic, springy connection between the forefoot and the hind foot so that a majority of the forces incurred during weight bearing on the foot can be dissipated before the force reaches the long bones of the leg and thigh."
nonalcoholic liver disease (nash),"Fatty liver disease (FLD), also known as hepatic steatosis and steatotic liver disease (SLD), is a condition where excess fat builds up in the liver. Often there are no or few symptoms. Occasionally there may be tiredness or pain in the upper right side of the abdomen. Complications may include cirrhosis, liver cancer, and esophageal varices."
hemarthrosis,Hemarthrosis is a bleeding into joint spaces. It is a common feature of hemophilia.
pelvic organ prolapse,"Pelvic organ prolapse (POP) is characterized by descent of pelvic organs from their normal positions into the vagina. In women, the condition usually occurs when the pelvic floor collapses after gynecological cancer treatment, childbirth or heavy lifting. Injury incurred to fascia membranes and other connective structures can result in cystocele, rectocele or both. Treatment can involve dietary and lifestyle changes, physical therapy, or surgery."
fracture of the arm,"A bone fracture is a medical condition in which there is a partial or complete break in the continuity of any bone in the body. In more severe cases, the bone may be broken into several fragments, known as a comminuted fracture. An open fracture is a bone fracture where the broken bone breaks through the skin."
coagulation (bleeding) disorder,"Coagulopathy is a condition in which the blood's ability to coagulate is impaired. This condition can cause a tendency toward prolonged or excessive bleeding, which may occur spontaneously or following an injury or medical and dental procedures."
intracranial hemorrhage,"Intracranial hemorrhage (ICH), also known as intracranial bleed, is bleeding within the skull. Subtypes are intracerebral bleeds, subarachnoid bleeds, epidural bleeds, and subdural bleeds."
hyperkalemia,"Hyperkalemia is an elevated level of potassium (K+) in the blood. Normal potassium levels are between 3.5 and 5.0 mmol/L (3.5 and 5.0 mEq/L) with levels above 5.5 mmol/L defined as hyperkalemia. Typically hyperkalemia does not cause symptoms. Occasionally when severe it can cause palpitations, muscle pain, muscle weakness, or numbness. Hyperkalemia can cause an abnormal heart rhythm which can result in cardiac arrest and death."
cornea infection,"The cornea is the transparent front part of the eyeball which covers the iris, pupil, and anterior chamber. Along with the anterior chamber and lens, the cornea refracts light, accounting for approximately two-thirds of the eye's total optical power. In humans, the refractive power of the cornea is approximately 43 dioptres. The cornea can be reshaped by surgical procedures such as LASIK."
abscess of the lung,Lung abscess is a type of liquefactive necrosis of the lung tissue and formation of cavities containing necrotic debris or fluid caused by microbial infection.
dengue fever,"Dengue fever is a mosquito-borne disease caused by dengue virus, prevalent in tropical and subtropical areas. It is frequently asymptomatic; if symptoms appear, they typically begin 3 to 14 days after infection. These may include a high fever, headache, vomiting, muscle and joint pains, and a characteristic skin itching and skin rash. Recovery generally takes two to seven days. In a small proportion of cases, the disease develops into severe dengue with bleeding, low levels of blood platelets, blood plasma leakage, and dangerously low blood pressure."
chronic sinusitis,"Sinusitis, also known as rhinosinusitis, is an inflammation of the mucous membranes that line the sinuses resulting in symptoms that may include production of thick nasal mucus, nasal congestion, facial congestion, facial pain, facial pressure, loss of smell, or fever."
